anchor_frame_id,anchor_timestamp,future_failure,frames_until_failure,h0_inlier_ratio,h0_reprojection_error,h0_fb_error,h0_spatial_coverage,h0_parallax,h0_valid_depth_ratio,h0_orb_fallback,h1_inlier_ratio,h1_reprojection_error,h1_fb_error,h1_spatial_coverage,h1_parallax,h1_valid_depth_ratio,h1_orb_fallback,h2_inlier_ratio,h2_reprojection_error,h2_fb_error,h2_spatial_coverage,h2_parallax,h2_valid_depth_ratio,h2_orb_fallback,h3_inlier_ratio,h3_reprojection_error,h3_fb_error,h3_spatial_coverage,h3_parallax,h3_valid_depth_ratio,h3_orb_fallback,h4_inlier_ratio,h4_reprojection_error,h4_fb_error,h4_spatial_coverage,h4_parallax,h4_valid_depth_ratio,h4_orb_fallback
5,0.16500000000000001,0,4,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0
6,0.19800000000000001,0,4,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0
7,0.23100000000000001,0,4,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0
8,0.26400000000000001,0,4,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0
9,0.29700000000000004,0,4,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.8571428571428571,0.68571428571428572,0.22857142857142856,0.83714285714285719,4.5,0.88,0
10,0.33000000000000002,0,4,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.8571428571428571,0.68571428571428572,0.22857142857142856,0.83714285714285719,4.5,0.88,0,0.76428571428571423,1.0714285714285714,0.3571428571428571,0.75428571428571434,4,0.79999999999999993,0
11,0.36299999999999999,0,4,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.8571428571428571,0.68571428571428572,0.22857142857142856,0.83714285714285719,4.5,0.88,0,0.76428571428571423,1.0714285714285714,0.3571428571428571,0.75428571428571434,4,0.79999999999999993,0,0.67142857142857137,1.4571428571428573,0.48571428571428565,0.67142857142857149,3.5,0.71999999999999997,0
12,0.39600000000000002,1,3,0.94999999999999996,0.29999999999999999,0.10000000000000001,0.92000000000000004,5,0.95999999999999996,0,0.8571428571428571,0.68571428571428572,0.22857142857142856,0.83714285714285719,4.5,0.88,0,0.76428571428571423,1.0714285714285714,0.3571428571428571,0.75428571428571434,4,0.79999999999999993,0,0.67142857142857137,1.4571428571428573,0.48571428571428565,0.67142857142857149,3.5,0.71999999999999997,0,0.57857142857142851,1.842857142857143,0.61428571428571421,0.58857142857142863,3,0.6399999999999999,0
13,0.42900000000000005,1,2,0.8571428571428571,0.68571428571428572,0.22857142857142856,0.83714285714285719,4.5,0.88,0,0.76428571428571423,1.0714285714285714,0.3571428571428571,0.75428571428571434,4,0.79999999999999993,0,0.67142857142857137,1.4571428571428573,0.48571428571428565,0.67142857142857149,3.5,0.71999999999999997,0,0.57857142857142851,1.842857142857143,0.61428571428571421,0.58857142857142863,3,0.6399999999999999,0,0.48571428571428565,2.2285714285714286,0.74285714285714288,0.50571428571428578,2.5,0.55999999999999994,1
14,0.46200000000000002,1,1,0.76428571428571423,1.0714285714285714,0.3571428571428571,0.75428571428571434,4,0.79999999999999993,0,0.67142857142857137,1.4571428571428573,0.48571428571428565,0.67142857142857149,3.5,0.71999999999999997,0,0.57857142857142851,1.842857142857143,0.61428571428571421,0.58857142857142863,3,0.6399999999999999,0,0.48571428571428565,2.2285714285714286,0.74285714285714288,0.50571428571428578,2.5,0.55999999999999994,1,0.39285714285714279,2.6142857142857143,0.87142857142857133,0.42285714285714293,2,0.47999999999999993,1
